[2021-07-22 09:33:02] - timeout completed: keys processed=0; now=1626926582592; nextExpiration=1626926582590; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:03] - timeout completed: keys processed=0; now=1626926583593; nextExpiration=1626926583592; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:04] - timeout completed: keys processed=0; now=1626926584594; nextExpiration=1626926584593; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:05] - timeout completed: keys processed=0; now=1626926585596; nextExpiration=1626926585594; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:06] - timeout completed: keys processed=0; now=1626926586597; nextExpiration=1626926586596; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:07] - timeout completed: keys processed=0; now=1626926587599; nextExpiration=1626926587597; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:08] - timeout completed: keys processed=0; now=1626926588600; nextExpiration=1626926588599; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:09] - timeout completed: keys processed=0; now=1626926589601; nextExpiration=1626926589600; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:10] - timeout completed: keys processed=0; now=1626926590602; nextExpiration=1626926590601; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:11] - timeout completed: keys processed=0; now=1626926591603; nextExpiration=1626926591602; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:12] - timeout completed: keys processed=0; now=1626926592605; nextExpiration=1626926592603; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:13] - timeout completed: keys processed=0; now=1626926593605; nextExpiration=1626926593605; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:14] - timeout completed: keys processed=0; now=1626926594606; nextExpiration=1626926594605; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:15] - timeout completed: keys processed=0; now=1626926595608; nextExpiration=1626926595606; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:16] - timeout completed: keys processed=0; now=1626926596609; nextExpiration=1626926596608; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:17] - timeout completed: keys processed=0; now=1626926597611; nextExpiration=1626926597609; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:18] - timeout completed: keys processed=0; now=1626926598612; nextExpiration=1626926598611; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:19] - timeout completed: keys processed=0; now=1626926599613; nextExpiration=1626926599612; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:20] - timeout completed: keys processed=0; now=1626926600613; nextExpiration=1626926600613; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:21] - timeout completed: keys processed=0; now=1626926601615; nextExpiration=1626926601613; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:22] - timeout completed: keys processed=0; now=1626926602616; nextExpiration=1626926602615; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:23] - timeout completed: keys processed=0; now=1626926603617; nextExpiration=1626926603616; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:24] - timeout completed: keys processed=0; now=1626926604618; nextExpiration=1626926604617; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:25] - timeout completed: keys processed=0; now=1626926605619; nextExpiration=1626926605618; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:26] - timeout completed: keys processed=0; now=1626926606620; nextExpiration=1626926606619; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:27] - HikariPool-1 - Pool stats (total=10, active=0, idle=10, waiting=0)
[2021-07-22 09:33:27] - HikariPool-1 - Fill pool skipped, pool is at sufficient level.
[2021-07-22 09:33:27] - timeout completed: keys processed=0; now=1626926607621; nextExpiration=1626926607620; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:28] - timeout completed: keys processed=0; now=1626926608622; nextExpiration=1626926608621; keyCount=0; hasEvents=false; eval=false
[2021-07-22 09:33:28] - Start expire sessions StandardManager at 1626926608993 sessioncount 0
