[2021-07-27 16:33:06] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@5339bbad'
[2021-07-27 16:33:06] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-27 16:33:06] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-27 16:33:06] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-27 16:33:06] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-27 16:33:06] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-27 16:33:06] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-27 16:33:06] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-27 16:33:06] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-27 16:33:06] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-27 16:33:06] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory$EmbeddedDataSourceProxy@45aca496
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-27 16:33:06] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-27 16:33:06] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-27 16:33:06] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-27 16:33:06] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-27 16:33:06] - HHH000206: hibernate.properties not found
[2021-07-27 16:33:06] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-27 16:33:06] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-27 16:33:06] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-27 16:33:06] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-27 16:33:06] - Adding type registration boolean -> org.hibernate.type.BooleanType@1c240cf2
[2021-07-27 16:33:06] - Adding type registration boolean -> org.hibernate.type.BooleanType@1c240cf2
[2021-07-27 16:33:06] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1c240cf2
[2021-07-27 16:33:06] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@64763e49
[2021-07-27 16:33:06] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@2b53840a
[2021-07-27 16:33:06] - Adding type registration yes_no -> org.hibernate.type.YesNoType@64b0d1fa
[2021-07-27 16:33:06] - Adding type registration byte -> org.hibernate.type.ByteType@131a7516
[2021-07-27 16:33:06] - Adding type registration byte -> org.hibernate.type.ByteType@131a7516
[2021-07-27 16:33:06] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@131a7516
[2021-07-27 16:33:06] - Adding type registration character -> org.hibernate.type.CharacterType@1f736d00
[2021-07-27 16:33:06] - Adding type registration char -> org.hibernate.type.CharacterType@1f736d00
[2021-07-27 16:33:06] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f736d00
[2021-07-27 16:33:06] - Adding type registration short -> org.hibernate.type.ShortType@3c770db4
[2021-07-27 16:33:06] - Adding type registration short -> org.hibernate.type.ShortType@3c770db4
[2021-07-27 16:33:06] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3c770db4
[2021-07-27 16:33:06] - Adding type registration integer -> org.hibernate.type.IntegerType@77cb452c
[2021-07-27 16:33:06] - Adding type registration int -> org.hibernate.type.IntegerType@77cb452c
[2021-07-27 16:33:06] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@77cb452c
[2021-07-27 16:33:06] - Adding type registration long -> org.hibernate.type.LongType@202898d7
[2021-07-27 16:33:06] - Adding type registration long -> org.hibernate.type.LongType@202898d7
[2021-07-27 16:33:06] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@202898d7
[2021-07-27 16:33:06] - Adding type registration float -> org.hibernate.type.FloatType@6048e26a
[2021-07-27 16:33:06] - Adding type registration float -> org.hibernate.type.FloatType@6048e26a
[2021-07-27 16:33:06] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6048e26a
[2021-07-27 16:33:06] - Adding type registration double -> org.hibernate.type.DoubleType@456f7d9e
[2021-07-27 16:33:06] - Adding type registration double -> org.hibernate.type.DoubleType@456f7d9e
[2021-07-27 16:33:06] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@456f7d9e
[2021-07-27 16:33:06] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6f31df32
[2021-07-27 16:33:06] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6f31df32
[2021-07-27 16:33:06] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@4a9a878
[2021-07-27 16:33:06] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@4a9a878
[2021-07-27 16:33:06] - Adding type registration string -> org.hibernate.type.StringType@729c8063
[2021-07-27 16:33:06] - Adding type registration java.lang.String -> org.hibernate.type.StringType@729c8063
[2021-07-27 16:33:06] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@19e21f89
[2021-07-27 16:33:06] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@776015fc
[2021-07-27 16:33:06] - Adding type registration url -> org.hibernate.type.UrlType@17d2b075
[2021-07-27 16:33:06] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@17d2b075
[2021-07-27 16:33:06] - Adding type registration Duration -> org.hibernate.type.DurationType@4db77402
[2021-07-27 16:33:06] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4db77402
[2021-07-27 16:33:06] - Adding type registration Instant -> org.hibernate.type.InstantType@4bb1b96b
[2021-07-27 16:33:06] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4bb1b96b
[2021-07-27 16:33:06] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7069f076
[2021-07-27 16:33:06] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7069f076
[2021-07-27 16:33:06] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@f5a7226
[2021-07-27 16:33:06] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@f5a7226
[2021-07-27 16:33:06] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@62aeddc8
[2021-07-27 16:33:06] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@62aeddc8
[2021-07-27 16:33:06] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@35bfa1bb
[2021-07-27 16:33:06] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@35bfa1bb
[2021-07-27 16:33:06] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@5ba90d8a
[2021-07-27 16:33:06] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@5ba90d8a
[2021-07-27 16:33:06] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@35d26ad2
[2021-07-27 16:33:06] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@35d26ad2
[2021-07-27 16:33:06] - Adding type registration date -> org.hibernate.type.DateType@3d615b2e
[2021-07-27 16:33:06] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@3d615b2e
[2021-07-27 16:33:06] - Adding type registration time -> org.hibernate.type.TimeType@160b4809
[2021-07-27 16:33:06] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@160b4809
[2021-07-27 16:33:06] - Adding type registration timestamp -> org.hibernate.type.TimestampType@2bb41f5c
[2021-07-27 16:33:06] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2bb41f5c
[2021-07-27 16:33:06] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2bb41f5c
[2021-07-27 16:33:06] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@251c4280
[2021-07-27 16:33:06] - Adding type registration calendar -> org.hibernate.type.CalendarType@faea4da
[2021-07-27 16:33:06] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@faea4da
[2021-07-27 16:33:06] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@faea4da
[2021-07-27 16:33:06] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@b4732dc
