[2021-07-27 16:34:04] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@5339bbad'
[2021-07-27 16:34:04] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-27 16:34:04] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-27 16:34:04] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-27 16:34:04] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-27 16:34:04] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-27 16:34:04] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-27 16:34:04] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-27 16:34:04] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-27 16:34:04] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-27 16:34:04] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory$EmbeddedDataSourceProxy@1d50a7ca
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-27 16:34:04] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-27 16:34:04] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-27 16:34:04] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-27 16:34:04] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-27 16:34:04] - HHH000206: hibernate.properties not found
[2021-07-27 16:34:04] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-27 16:34:04] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-27 16:34:04] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-27 16:34:04] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-27 16:34:04] - Adding type registration boolean -> org.hibernate.type.BooleanType@13ed066e
[2021-07-27 16:34:04] - Adding type registration boolean -> org.hibernate.type.BooleanType@13ed066e
[2021-07-27 16:34:04] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@13ed066e
[2021-07-27 16:34:04] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@626d2016
[2021-07-27 16:34:04] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@193bb809
[2021-07-27 16:34:04] - Adding type registration yes_no -> org.hibernate.type.YesNoType@1c240cf2
[2021-07-27 16:34:04] - Adding type registration byte -> org.hibernate.type.ByteType@2b53840a
[2021-07-27 16:34:04] - Adding type registration byte -> org.hibernate.type.ByteType@2b53840a
[2021-07-27 16:34:04] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2b53840a
[2021-07-27 16:34:04] - Adding type registration character -> org.hibernate.type.CharacterType@62b475e2
[2021-07-27 16:34:04] - Adding type registration char -> org.hibernate.type.CharacterType@62b475e2
[2021-07-27 16:34:04] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@62b475e2
[2021-07-27 16:34:04] - Adding type registration short -> org.hibernate.type.ShortType@577536e0
[2021-07-27 16:34:04] - Adding type registration short -> org.hibernate.type.ShortType@577536e0
[2021-07-27 16:34:04] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@577536e0
[2021-07-27 16:34:04] - Adding type registration integer -> org.hibernate.type.IntegerType@718fd7c1
[2021-07-27 16:34:04] - Adding type registration int -> org.hibernate.type.IntegerType@718fd7c1
[2021-07-27 16:34:04] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@718fd7c1
[2021-07-27 16:34:04] - Adding type registration long -> org.hibernate.type.LongType@61cda923
[2021-07-27 16:34:04] - Adding type registration long -> org.hibernate.type.LongType@61cda923
[2021-07-27 16:34:04] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@61cda923
[2021-07-27 16:34:04] - Adding type registration float -> org.hibernate.type.FloatType@2c26ba07
[2021-07-27 16:34:04] - Adding type registration float -> org.hibernate.type.FloatType@2c26ba07
[2021-07-27 16:34:04] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2c26ba07
[2021-07-27 16:34:04] - Adding type registration double -> org.hibernate.type.DoubleType@2c719bd4
[2021-07-27 16:34:04] - Adding type registration double -> org.hibernate.type.DoubleType@2c719bd4
[2021-07-27 16:34:04] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2c719bd4
[2021-07-27 16:34:04] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@44286963
[2021-07-27 16:34:04] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@44286963
[2021-07-27 16:34:04] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@8f40022
[2021-07-27 16:34:04] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@8f40022
[2021-07-27 16:34:04] - Adding type registration string -> org.hibernate.type.StringType@5d7911d5
[2021-07-27 16:34:04] - Adding type registration java.lang.String -> org.hibernate.type.StringType@5d7911d5
[2021-07-27 16:34:04] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@36bed37a
[2021-07-27 16:34:04] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1c8f6c66
[2021-07-27 16:34:04] - Adding type registration url -> org.hibernate.type.UrlType@feb098f
[2021-07-27 16:34:04] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@feb098f
[2021-07-27 16:34:04] - Adding type registration Duration -> org.hibernate.type.DurationType@6ad179b4
[2021-07-27 16:34:04] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@6ad179b4
[2021-07-27 16:34:04] - Adding type registration Instant -> org.hibernate.type.InstantType@310b2b6f
[2021-07-27 16:34:04] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@310b2b6f
[2021-07-27 16:34:04] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5ef85555
[2021-07-27 16:34:04] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5ef85555
[2021-07-27 16:34:04] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@1f66d8e1
[2021-07-27 16:34:04] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@1f66d8e1
[2021-07-27 16:34:04] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@764b14b8
[2021-07-27 16:34:04] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@764b14b8
