[2021-07-27 17:50:41] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@29006752'
[2021-07-27 17:50:41] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-27 17:50:41] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-27 17:50:41] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-27 17:50:41] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-27 17:50:41] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-27 17:50:41] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-27 17:50:41] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-27 17:50:41] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-27 17:50:42] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-27 17:50:42] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory$EmbeddedDataSourceProxy@76a805b7
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-27 17:50:42] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-27 17:50:42] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-27 17:50:42] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-27 17:50:42] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-27 17:50:42] - HHH000206: hibernate.properties not found
[2021-07-27 17:50:42] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-27 17:50:42] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-27 17:50:42] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-27 17:50:42] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-27 17:50:42] - Adding type registration boolean -> org.hibernate.type.BooleanType@1c61eda5
[2021-07-27 17:50:42] - Adding type registration boolean -> org.hibernate.type.BooleanType@1c61eda5
[2021-07-27 17:50:42] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1c61eda5
[2021-07-27 17:50:42] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5ae15
[2021-07-27 17:50:42] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7f0b93b4
[2021-07-27 17:50:42] - Adding type registration yes_no -> org.hibernate.type.YesNoType@718fd7c1
[2021-07-27 17:50:42] - Adding type registration byte -> org.hibernate.type.ByteType@46fc522d
[2021-07-27 17:50:42] - Adding type registration byte -> org.hibernate.type.ByteType@46fc522d
[2021-07-27 17:50:42] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@46fc522d
[2021-07-27 17:50:42] - Adding type registration character -> org.hibernate.type.CharacterType@6f25bf88
[2021-07-27 17:50:42] - Adding type registration char -> org.hibernate.type.CharacterType@6f25bf88
[2021-07-27 17:50:42] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6f25bf88
[2021-07-27 17:50:42] - Adding type registration short -> org.hibernate.type.ShortType@53aa38be
[2021-07-27 17:50:42] - Adding type registration short -> org.hibernate.type.ShortType@53aa38be
[2021-07-27 17:50:42] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@53aa38be
[2021-07-27 17:50:42] - Adding type registration integer -> org.hibernate.type.IntegerType@c8f97a7
[2021-07-27 17:50:42] - Adding type registration int -> org.hibernate.type.IntegerType@c8f97a7
[2021-07-27 17:50:42] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@c8f97a7
[2021-07-27 17:50:42] - Adding type registration long -> org.hibernate.type.LongType@5232e3f1
[2021-07-27 17:50:42] - Adding type registration long -> org.hibernate.type.LongType@5232e3f1
[2021-07-27 17:50:42] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@5232e3f1
