[2021-07-28 08:50:43] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@3935e9a8'
[2021-07-28 08:50:43] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-28 08:50:43] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-28 08:50:43] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-28 08:50:43] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-28 08:50:43] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-28 08:50:43] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-28 08:50:43] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-28 08:50:43] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-28 08:50:43] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-28 08:50:43] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: org.springframework.jdbc.datasource.embedded.EmbeddedDatabaseFactory$EmbeddedDataSourceProxy@51ab1ee3
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-28 08:50:43] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-28 08:50:43] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-28 08:50:43] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-28 08:50:43] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-28 08:50:43] - HHH000206: hibernate.properties not found
[2021-07-28 08:50:44] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-28 08:50:44] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-28 08:50:44] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-28 08:50:44] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-28 08:50:44] - Adding type registration boolean -> org.hibernate.type.BooleanType@4d705112
[2021-07-28 08:50:44] - Adding type registration boolean -> org.hibernate.type.BooleanType@4d705112
[2021-07-28 08:50:44] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4d705112
[2021-07-28 08:50:44] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2d5a1588
[2021-07-28 08:50:44] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@64b018f3
[2021-07-28 08:50:44] - Adding type registration yes_no -> org.hibernate.type.YesNoType@78b7f805
[2021-07-28 08:50:44] - Adding type registration byte -> org.hibernate.type.ByteType@3caafa67
[2021-07-28 08:50:44] - Adding type registration byte -> org.hibernate.type.ByteType@3caafa67
[2021-07-28 08:50:44] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3caafa67
[2021-07-28 08:50:44] - Adding type registration character -> org.hibernate.type.CharacterType@e9474f
[2021-07-28 08:50:44] - Adding type registration char -> org.hibernate.type.CharacterType@e9474f
[2021-07-28 08:50:44] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@e9474f
[2021-07-28 08:50:44] - Adding type registration short -> org.hibernate.type.ShortType@12219f6a
[2021-07-28 08:50:44] - Adding type registration short -> org.hibernate.type.ShortType@12219f6a
[2021-07-28 08:50:44] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@12219f6a
[2021-07-28 08:50:44] - Adding type registration integer -> org.hibernate.type.IntegerType@4bc6da03
[2021-07-28 08:50:44] - Adding type registration int -> org.hibernate.type.IntegerType@4bc6da03
[2021-07-28 08:50:44] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@4bc6da03
[2021-07-28 08:50:44] - Adding type registration long -> org.hibernate.type.LongType@46fc522d
[2021-07-28 08:50:44] - Adding type registration long -> org.hibernate.type.LongType@46fc522d
[2021-07-28 08:50:44] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@46fc522d
[2021-07-28 08:50:44] - Adding type registration float -> org.hibernate.type.FloatType@6f25bf88
[2021-07-28 08:50:44] - Adding type registration float -> org.hibernate.type.FloatType@6f25bf88
[2021-07-28 08:50:44] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6f25bf88
[2021-07-28 08:50:44] - Adding type registration double -> org.hibernate.type.DoubleType@53aa38be
[2021-07-28 08:50:44] - Adding type registration double -> org.hibernate.type.DoubleType@53aa38be
[2021-07-28 08:50:44] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@53aa38be
[2021-07-28 08:50:44] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@c8f97a7
[2021-07-28 08:50:44] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@c8f97a7
[2021-07-28 08:50:44] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@5232e3f1
[2021-07-28 08:50:44] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@5232e3f1
[2021-07-28 08:50:44] - Adding type registration string -> org.hibernate.type.StringType@3ba1308d
[2021-07-28 08:50:44] - Adding type registration java.lang.String -> org.hibernate.type.StringType@3ba1308d
[2021-07-28 08:50:44] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4a9a878
[2021-07-28 08:50:44] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@552cede7
[2021-07-28 08:50:44] - Adding type registration url -> org.hibernate.type.UrlType@19e21f89
[2021-07-28 08:50:44] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@19e21f89
[2021-07-28 08:50:44] - Adding type registration Duration -> org.hibernate.type.DurationType@2efd2f21
[2021-07-28 08:50:44] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@2efd2f21
[2021-07-28 08:50:44] - Adding type registration Instant -> org.hibernate.type.InstantType@6909f6be
[2021-07-28 08:50:44] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6909f6be
[2021-07-28 08:50:44] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@5bcec67e
[2021-07-28 08:50:44] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@5bcec67e
[2021-07-28 08:50:44] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@721d5b74
[2021-07-28 08:50:44] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@721d5b74
[2021-07-28 08:50:44] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@202d9236
[2021-07-28 08:50:44] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@202d9236
[2021-07-28 08:50:44] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7ecda95b
[2021-07-28 08:50:44] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@7ecda95b
[2021-07-28 08:50:44] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@77b3752b
[2021-07-28 08:50:44] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@77b3752b
[2021-07-28 08:50:44] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d0100ea
[2021-07-28 08:50:44] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@7d0100ea
[2021-07-28 08:50:44] - Adding type registration date -> org.hibernate.type.DateType@35d26ad2
[2021-07-28 08:50:44] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@35d26ad2
[2021-07-28 08:50:44] - Adding type registration time -> org.hibernate.type.TimeType@543d5863
[2021-07-28 08:50:44] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@543d5863
[2021-07-28 08:50:44] - Adding type registration timestamp -> org.hibernate.type.TimestampType@697d6ded
[2021-07-28 08:50:44] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@697d6ded
[2021-07-28 08:50:44] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@697d6ded
[2021-07-28 08:50:44] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@149b4d20
[2021-07-28 08:50:44] - Adding type registration calendar -> org.hibernate.type.CalendarType@24c685e7
[2021-07-28 08:50:44] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@24c685e7
[2021-07-28 08:50:44] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@24c685e7
[2021-07-28 08:50:44] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@79a13920
[2021-07-28 08:50:44] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@19b02dfd
[2021-07-28 08:50:44] - Adding type registration locale -> org.hibernate.type.LocaleType@28babeca
[2021-07-28 08:50:44] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@28babeca
[2021-07-28 08:50:44] - Adding type registration currency -> org.hibernate.type.CurrencyType@778a1250
[2021-07-28 08:50:44] - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@778a1250
[2021-07-28 08:50:44] - Adding type registration timezone -> org.hibernate.type.TimeZoneType@2519026b
[2021-07-28 08:50:44] - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@2519026b
[2021-07-28 08:50:44] - Adding type registration class -> org.hibernate.type.ClassType@37a9b687
[2021-07-28 08:50:44] - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@37a9b687
[2021-07-28 08:50:44] - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@623e0631
[2021-07-28 08:50:44] - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@623e0631
[2021-07-28 08:50:44] - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@245253d8
[2021-07-28 08:50:44] - Adding type registration binary -> org.hibernate.type.BinaryType@392781e
[2021-07-28 08:50:44] - Adding type registration byte[] -> org.hibernate.type.BinaryType@392781e
[2021-07-28 08:50:44] - Adding type registration [B -> org.hibernate.type.BinaryType@392781e
[2021-07-28 08:50:44] - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@7dee835
[2021-07-28 08:50:44] - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@7dee835
[2021-07-28 08:50:44] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@7dee835
[2021-07-28 08:50:44] - Adding type registration row_version -> org.hibernate.type.RowVersionType@3f9b7fe1
[2021-07-28 08:50:44] - Adding type registration image -> org.hibernate.type.ImageType@4e8b357d
[2021-07-28 08:50:44] - Adding type registration characters -> org.hibernate.type.CharArrayType@6d6f6860
[2021-07-28 08:50:44] - Adding type registration char[] -> org.hibernate.type.CharArrayType@6d6f6860
[2021-07-28 08:50:44] - Adding type registration [C -> org.hibernate.type.CharArrayType@6d6f6860
[2021-07-28 08:50:44] - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4bf80c29
[2021-07-28 08:50:44] - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4bf80c29
[2021-07-28 08:50:44] - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4bf80c29
[2021-07-28 08:50:44] - Adding type registration text -> org.hibernate.type.TextType@32a4ecbe
[2021-07-28 08:50:44] - Adding type registration ntext -> org.hibernate.type.NTextType@3e900e1a
[2021-07-28 08:50:44] - Adding type registration blob -> org.hibernate.type.BlobType@365afe87
[2021-07-28 08:50:44] - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@365afe87
[2021-07-28 08:50:44] - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@7b53b1ad
[2021-07-28 08:50:44] - Adding type registration clob -> org.hibernate.type.ClobType@747835f5
[2021-07-28 08:50:44] - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@747835f5
[2021-07-28 08:50:44] - Adding type registration nclob -> org.hibernate.type.NClobType@10a18e3e
[2021-07-28 08:50:44] - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@10a18e3e
[2021-07-28 08:50:44] - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@5bde57ab
[2021-07-28 08:50:44] - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@7bbcf6f0
[2021-07-28 08:50:44] - Adding type registration serializable -> org.hibernate.type.SerializableType@43245559
