[2021-07-28 09:37:40] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@288a4658'
[2021-07-28 09:37:40] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-28 09:37:40] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-28 09:37:40] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-28 09:37:40] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-28 09:37:40] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-28 09:37:40] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-28 09:37:40] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-28 09:37:40] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-28 09:37:40] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-28 09:37:40] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7
	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/test-classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-28 09:37:40] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-28 09:37:40] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-28 09:37:40] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-28 09:37:40] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-28 09:37:40] - HHH000206: hibernate.properties not found
[2021-07-28 09:37:40] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-28 09:37:40] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-28 09:37:40] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-28 09:37:40] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-28 09:37:40] - Adding type registration boolean -> org.hibernate.type.BooleanType@53d9826f
[2021-07-28 09:37:40] - Adding type registration boolean -> org.hibernate.type.BooleanType@53d9826f
[2021-07-28 09:37:40] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@53d9826f
[2021-07-28 09:37:40] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@64f9f455
[2021-07-28 09:37:40] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7b5b5bfe
[2021-07-28 09:37:40] - Adding type registration yes_no -> org.hibernate.type.YesNoType@2ceca2ef
[2021-07-28 09:37:40] - Adding type registration byte -> org.hibernate.type.ByteType@3453acd2
[2021-07-28 09:37:40] - Adding type registration byte -> org.hibernate.type.ByteType@3453acd2
[2021-07-28 09:37:40] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3453acd2
[2021-07-28 09:37:40] - Adding type registration character -> org.hibernate.type.CharacterType@1f95881a
[2021-07-28 09:37:40] - Adding type registration char -> org.hibernate.type.CharacterType@1f95881a
[2021-07-28 09:37:40] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@1f95881a
[2021-07-28 09:37:40] - Adding type registration short -> org.hibernate.type.ShortType@626c19cf
[2021-07-28 09:37:40] - Adding type registration short -> org.hibernate.type.ShortType@626c19cf
[2021-07-28 09:37:40] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@626c19cf
[2021-07-28 09:37:40] - Adding type registration integer -> org.hibernate.type.IntegerType@1b482cbf
[2021-07-28 09:37:40] - Adding type registration int -> org.hibernate.type.IntegerType@1b482cbf
[2021-07-28 09:37:40] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1b482cbf
[2021-07-28 09:37:40] - Adding type registration long -> org.hibernate.type.LongType@76cf841
[2021-07-28 09:37:40] - Adding type registration long -> org.hibernate.type.LongType@76cf841
[2021-07-28 09:37:40] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@76cf841
[2021-07-28 09:37:40] - Adding type registration float -> org.hibernate.type.FloatType@220c9a63
[2021-07-28 09:37:40] - Adding type registration float -> org.hibernate.type.FloatType@220c9a63
[2021-07-28 09:37:40] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@220c9a63
[2021-07-28 09:37:40] - Adding type registration double -> org.hibernate.type.DoubleType@158e9f6e
[2021-07-28 09:37:40] - Adding type registration double -> org.hibernate.type.DoubleType@158e9f6e
[2021-07-28 09:37:40] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@158e9f6e
[2021-07-28 09:37:40] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@5426cb36
[2021-07-28 09:37:40] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@5426cb36
[2021-07-28 09:37:40] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@671ea6ff
[2021-07-28 09:37:40] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@671ea6ff
[2021-07-28 09:37:40] - Adding type registration string -> org.hibernate.type.StringType@ef718de
[2021-07-28 09:37:40] - Adding type registration java.lang.String -> org.hibernate.type.StringType@ef718de
[2021-07-28 09:37:40] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@9c93d16
[2021-07-28 09:37:40] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@9ab310b
[2021-07-28 09:37:40] - Adding type registration url -> org.hibernate.type.UrlType@51bddd98
[2021-07-28 09:37:40] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@51bddd98
[2021-07-28 09:37:40] - Adding type registration Duration -> org.hibernate.type.DurationType@10e5bf9c
[2021-07-28 09:37:40] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@10e5bf9c
[2021-07-28 09:37:40] - Adding type registration Instant -> org.hibernate.type.InstantType@712ac7e6
[2021-07-28 09:37:40] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@712ac7e6
[2021-07-28 09:37:40] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@106b014e
[2021-07-28 09:37:40] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@106b014e
[2021-07-28 09:37:40] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@649f25f3
[2021-07-28 09:37:40] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@649f25f3
[2021-07-28 09:37:40] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@60ed12e8
[2021-07-28 09:37:40] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@60ed12e8
