[2021-07-29 11:10:54] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@50fe837a'
[2021-07-29 11:10:54] - Autowiring by type from bean name 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaConfiguration' via constructor to bean named 'spring.jpa.hibernate-org.springframework.boot.autoconfigure.orm.jpa.HibernateProperties'
[2021-07-29 11:10:54] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-29 11:10:54] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-29 11:10:54] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-29 11:10:54] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-29 11:10:54] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-29 11:10:54] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-29 11:10:54] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-29 11:10:54] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-29 11:10:54] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: TomcatEmbeddedWebappClassLoader
  context: ROOT
  delegate: true
----------> Parent Classloader:
jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-29 11:10:54] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-29 11:10:54] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-29 11:10:54] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-29 11:10:54] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-29 11:10:54] - HHH000206: hibernate.properties not found
[2021-07-29 11:10:54] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-29 11:10:55] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-29 11:10:55] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-29 11:10:55] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-29 11:10:55] - Adding type registration boolean -> org.hibernate.type.BooleanType@3daf03d8
[2021-07-29 11:10:55] - Adding type registration boolean -> org.hibernate.type.BooleanType@3daf03d8
[2021-07-29 11:10:55] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3daf03d8
[2021-07-29 11:10:55] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@373afd6c
[2021-07-29 11:10:55] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3fdcde7a
[2021-07-29 11:10:55] - Adding type registration yes_no -> org.hibernate.type.YesNoType@1961d75a
[2021-07-29 11:10:55] - Adding type registration byte -> org.hibernate.type.ByteType@2f995afc
[2021-07-29 11:10:55] - Adding type registration byte -> org.hibernate.type.ByteType@2f995afc
[2021-07-29 11:10:55] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2f995afc
[2021-07-29 11:10:55] - Adding type registration character -> org.hibernate.type.CharacterType@644a3add
[2021-07-29 11:10:55] - Adding type registration char -> org.hibernate.type.CharacterType@644a3add
[2021-07-29 11:10:55] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@644a3add
[2021-07-29 11:10:55] - Adding type registration short -> org.hibernate.type.ShortType@261b9a37
[2021-07-29 11:10:55] - Adding type registration short -> org.hibernate.type.ShortType@261b9a37
[2021-07-29 11:10:55] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@261b9a37
[2021-07-29 11:10:55] - Adding type registration integer -> org.hibernate.type.IntegerType@1ef31f71
[2021-07-29 11:10:55] - Adding type registration int -> org.hibernate.type.IntegerType@1ef31f71
[2021-07-29 11:10:55] - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1ef31f71
[2021-07-29 11:10:55] - Adding type registration long -> org.hibernate.type.LongType@2fe2965c
[2021-07-29 11:10:55] - Adding type registration long -> org.hibernate.type.LongType@2fe2965c
[2021-07-29 11:10:55] - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2fe2965c
[2021-07-29 11:10:55] - Adding type registration float -> org.hibernate.type.FloatType@c2cf597
[2021-07-29 11:10:55] - Adding type registration float -> org.hibernate.type.FloatType@c2cf597
[2021-07-29 11:10:55] - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@c2cf597
[2021-07-29 11:10:55] - Adding type registration double -> org.hibernate.type.DoubleType@5dbbb292
[2021-07-29 11:10:55] - Adding type registration double -> org.hibernate.type.DoubleType@5dbbb292
[2021-07-29 11:10:55] - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5dbbb292
[2021-07-29 11:10:55] - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@27960b1e
[2021-07-29 11:10:55] - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@27960b1e
[2021-07-29 11:10:55] - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@6f731759
[2021-07-29 11:10:55] - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@6f731759
[2021-07-29 11:10:55] - Adding type registration string -> org.hibernate.type.StringType@3a1b36a1
[2021-07-29 11:10:55] - Adding type registration java.lang.String -> org.hibernate.type.StringType@3a1b36a1
[2021-07-29 11:10:55] - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@256a0d95
[2021-07-29 11:10:55] - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@44f0ff2b
[2021-07-29 11:10:55] - Adding type registration url -> org.hibernate.type.UrlType@11ede87f
[2021-07-29 11:10:55] - Adding type registration java.net.URL -> org.hibernate.type.UrlType@11ede87f
[2021-07-29 11:10:55] - Adding type registration Duration -> org.hibernate.type.DurationType@110b7837
[2021-07-29 11:10:55] - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@110b7837
[2021-07-29 11:10:55] - Adding type registration Instant -> org.hibernate.type.InstantType@79957f11
[2021-07-29 11:10:55] - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@79957f11
[2021-07-29 11:10:55] - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7cf63b9a
[2021-07-29 11:10:55] - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7cf63b9a
[2021-07-29 11:10:55] - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@50b734c4
[2021-07-29 11:10:55] - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@50b734c4
[2021-07-29 11:10:55] - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1c297897
[2021-07-29 11:10:55] - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1c297897
[2021-07-29 11:10:55] - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cbd40c1
[2021-07-29 11:10:55] - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@cbd40c1
[2021-07-29 11:10:55] - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@433ea2ac
[2021-07-29 11:10:55] - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@433ea2ac
[2021-07-29 11:10:55] - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6c3f1658
[2021-07-29 11:10:55] - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@6c3f1658
[2021-07-29 11:10:55] - Adding type registration date -> org.hibernate.type.DateType@c4d2c44
[2021-07-29 11:10:55] - Adding type registration java.sql.Date -> org.hibernate.type.DateType@c4d2c44
[2021-07-29 11:10:55] - Adding type registration time -> org.hibernate.type.TimeType@5c48b72c
[2021-07-29 11:10:55] - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@5c48b72c
[2021-07-29 11:10:55] - Adding type registration timestamp -> org.hibernate.type.TimestampType@243bf087
[2021-07-29 11:10:55] - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@243bf087
[2021-07-29 11:10:55] - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@243bf087
[2021-07-29 11:10:55] - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@781aff8b
[2021-07-29 11:10:55] - Adding type registration calendar -> org.hibernate.type.CalendarType@58278366
[2021-07-29 11:10:55] - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@58278366
[2021-07-29 11:10:55] - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@58278366
[2021-07-29 11:10:55] - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@6d293993
[2021-07-29 11:10:55] - Adding type registration calendar_time -> org.hibernate.type.CalendarTimeType@632b305d
[2021-07-29 11:10:55] - Adding type registration locale -> org.hibernate.type.LocaleType@195113de
[2021-07-29 11:10:55] - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@195113de
[2021-07-29 11:10:55] - Adding type registration currency -> org.hibernate.type.CurrencyType@66d25ba9
[2021-07-29 11:10:55] - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@66d25ba9
[2021-07-29 11:10:55] - Adding type registration timezone -> org.hibernate.type.TimeZoneType@266e9dda
[2021-07-29 11:10:55] - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@266e9dda
[2021-07-29 11:10:55] - Adding type registration class -> org.hibernate.type.ClassType@7db40fd5
[2021-07-29 11:10:55] - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@7db40fd5
[2021-07-29 11:10:55] - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@74c9e11
[2021-07-29 11:10:55] - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@74c9e11
[2021-07-29 11:10:55] - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@72557746
[2021-07-29 11:10:55] - Adding type registration binary -> org.hibernate.type.BinaryType@2f95653f
[2021-07-29 11:10:55] - Adding type registration byte[] -> org.hibernate.type.BinaryType@2f95653f
[2021-07-29 11:10:55] - Adding type registration [B -> org.hibernate.type.BinaryType@2f95653f
[2021-07-29 11:10:55] - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@38029686
[2021-07-29 11:10:55] - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@38029686
[2021-07-29 11:10:55] - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@38029686
[2021-07-29 11:10:55] - Adding type registration row_version -> org.hibernate.type.RowVersionType@74960e9d
[2021-07-29 11:10:55] - Adding type registration image -> org.hibernate.type.ImageType@37af24cb
[2021-07-29 11:10:55] - Adding type registration characters -> org.hibernate.type.CharArrayType@7742a45c
[2021-07-29 11:10:55] - Adding type registration char[] -> org.hibernate.type.CharArrayType@7742a45c
[2021-07-29 11:10:55] - Adding type registration [C -> org.hibernate.type.CharArrayType@7742a45c
[2021-07-29 11:10:55] - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@619c93ca
[2021-07-29 11:10:55] - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@619c93ca
[2021-07-29 11:10:55] - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@619c93ca
[2021-07-29 11:10:55] - Adding type registration text -> org.hibernate.type.TextType@5bda157e
[2021-07-29 11:10:55] - Adding type registration ntext -> org.hibernate.type.NTextType@1a531422
[2021-07-29 11:10:55] - Adding type registration blob -> org.hibernate.type.BlobType@61b65d54
[2021-07-29 11:10:55] - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@61b65d54
[2021-07-29 11:10:55] - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@101cf747
[2021-07-29 11:10:55] - Adding type registration clob -> org.hibernate.type.ClobType@5edc3e29
[2021-07-29 11:10:55] - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@5edc3e29
[2021-07-29 11:10:55] - Adding type registration nclob -> org.hibernate.type.NClobType@5df6163a
[2021-07-29 11:10:55] - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5df6163a
[2021-07-29 11:10:55] - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@7c1503a3
[2021-07-29 11:10:55] - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@7e52a26b
[2021-07-29 11:10:55] - Adding type registration serializable -> org.hibernate.type.SerializableType@47a4eee2
[2021-07-29 11:10:55] - Adding type registration object -> org.hibernate.type.ObjectType@57bd6a8f
[2021-07-29 11:10:55] - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@57bd6a8f
[2021-07-29 11:10:55] - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@4b195203
[2021-07-29 11:10:55] - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@28a6e171
[2021-07-29 11:10:55] - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@23444a36
