[2021-07-29 10:21:23] - Creating shared instance of singleton bean 'hikariPoolDataSourceMetadataProvider'
[2021-07-29 10:21:23] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.jdbc.metadata.DataSourcePoolMetadataProvidersConfiguration$HikariPoolDataSourceMetadataProviderConfiguration'
[2021-07-29 10:21:23] - Creating shared instance of singleton bean 'entityManagerFactoryBuilder'
[2021-07-29 10:21:23] - Creating shared instance of singleton bean 'jpaVendorAdapter'
[2021-07-29 10:21:23] - Logging Provider: org.jboss.logging.Log4j2LoggerProvider
[2021-07-29 10:21:23] - Autowiring by type from bean name 'entityManagerFactoryBuilder' via factory method to bean named 'jpaVendorAdapter'
[2021-07-29 10:21:23] - Autowiring by type from bean name 'entityManagerFactory' via factory method to bean named 'entityManagerFactoryBuilder'
[2021-07-29 10:21:23] - Building JPA container EntityManagerFactory for persistence unit 'default'
[2021-07-29 10:21:23] - PersistenceUnitInfo [
	name: default
	persistence provider classname: null
	classloader: TomcatEmbeddedWebappClassLoader
  context: ROOT
  delegate: true
----------> Parent Classloader:
jdk.internal.loader.ClassLoaders$AppClassLoader@251a69d7

	excludeUnlistedClasses: true
	JTA datasource: null
	Non JTA datasource: HikariDataSource (null)
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/anuththara/Documents/hSenid/Practice/springboot/spring-uni-jpa/UserJPA-Springboot/target/classes/
	Shared Cache Mode: UNSPECIFIED
	Validation Mode: AUTO
	Jar files URLs []
	Managed classes names [
		com.anu.springunijpa.entity.Course
		com.anu.springunijpa.entity.User
		com.anu.springunijpa.entity.UserCourse
		com.anu.springunijpa.entity.UserCourseKey]
	Mapping files names []
	Properties []
[2021-07-29 10:21:23] - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[2021-07-29 10:21:23] - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[2021-07-29 10:21:23] - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[2021-07-29 10:21:23] - HHH000412: Hibernate ORM core version 5.4.32.Final
[2021-07-29 10:21:23] - HHH000206: hibernate.properties not found
[2021-07-29 10:21:23] - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[2021-07-29 10:21:23] - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[2021-07-29 10:21:23] - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[2021-07-29 10:21:23] - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[2021-07-29 10:21:23] - Adding type registration boolean -> org.hibernate.type.BooleanType@6c33da7a
[2021-07-29 10:21:23] - Adding type registration boolean -> org.hibernate.type.BooleanType@6c33da7a
[2021-07-29 10:21:23] - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6c33da7a
[2021-07-29 10:21:23] - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@678a9516
[2021-07-29 10:21:23] - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6e243175
[2021-07-29 10:21:23] - Adding type registration yes_no -> org.hibernate.type.YesNoType@629e8212
[2021-07-29 10:21:23] - Adding type registration byte -> org.hibernate.type.ByteType@6d963d70
[2021-07-29 10:21:23] - Adding type registration byte -> org.hibernate.type.ByteType@6d963d70
[2021-07-29 10:21:23] - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6d963d70
[2021-07-29 10:21:23] - Adding type registration character -> org.hibernate.type.CharacterType@65c17e38
[2021-07-29 10:21:23] - Adding type registration char -> org.hibernate.type.CharacterType@65c17e38
[2021-07-29 10:21:23] - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@65c17e38
[2021-07-29 10:21:23] - Adding type registration short -> org.hibernate.type.ShortType@66749eea
[2021-07-29 10:21:23] - Adding type registration short -> org.hibernate.type.ShortType@66749eea
[2021-07-29 10:21:23] - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@66749eea
[2021-07-29 10:21:23] - Adding type registration integer -> org.hibernate.type.IntegerType@2c18a3ea
[2021-07-29 10:21:23] - Adding type registration int -> org.hibernate.type.IntegerType@2c18a3ea
